state0,state1,rate,N
"E15","Enew13",.0049553,157
"E15","Enew14",.0028213,89
"E15","Enew15",.0780865,2474
"E15","Enew16",.0050271,159
"E15","Enew17",.0086926,276
"E15","Enew18",.0003859,12
"E15","Enew19",.001177,37
"E15","Enew2",.0015805,50
"E15","Enew20",.0005122,16
"E15","Enew21",.0020849,66
"E15","Enew22",.0033226,105
"E15","Enew3",.0006391,20
"E15","Enew4",.0005047,16
"E15","Enew5",.0001557,5
"E15","Enew6",.0015776,50
"E15","Enew7",.0002212,7
"E15","Enew8",.0050058,158
"E15","Enew9",.001242,39
"E15","Esame1",0,0
"E15","Esame10",0,0
"E15","Esame11",0,0
"E15","Esame12",0,0
"E15","Esame13",0,0
"E15","Esame14",0,0
"E15","Esame15",.8522057,26998
"E15","Esame16",0,0
"E15","Esame17",0,0
"E15","Esame18",0,0
"E15","Esame19",0,0
"E15","Esame2",0,0
"E15","Esame20",0,0
"E15","Esame21",0,0
"E15","Esame22",0,0
"E15","Esame3",0,0
"E15","Esame4",0,0
"E15","Esame5",0,0
"E15","Esame6",0,0
"E15","Esame7",0,0
"E15","Esame8",0,0
"E15","Esame9",0,0
"E15","U1",0,0
"E15","U10",0,0
"E15","U11",0,0
"E15","U12",0,0
"E15","U13",0,0
"E15","U14",0,0
"E15","U15",.0134451,426
"E15","U16",0,0
"E15","U17",0,0
"E15","U18",0,0
"E15","U19",0,0
"E15","U2",0,0
"E15","U20",0,0
"E15","U21",0,0
"E15","U22",0,0
"E15","U3",0,0
"E15","U4",0,0
"E15","U5",0,0
"E15","U6",0,0
"E15","U7",0,0
"E15","U8",0,0
"E15","U9",0,0
"E16","Enew1",.0088827,768
"E16","Enew10",.0017113,148
"E16","Enew11",.0011123,96
"E16","Enew12",.0008227,71
"E16","Enew13",.0044178,382
"E16","Enew14",.0017091,148
"E16","Enew15",.0022431,194
"E16","Enew16",.0673584,5823
"E16","Enew17",.0117228,1013
"E16","Enew18",.0003934,34
"E16","Enew19",.0021832,189
"E16","Enew2",.0039587,342
"E16","Enew20",.0017219,149
"E16","Enew21",.003506,303
"E16","Enew22",.0045545,394
"E16","Enew3",.0013249,114
"E16","Enew4",.0006693,58
"E16","Enew5",.0002773,24
"E16","Enew6",.0005572,48
"E16","Enew7",.0003246,28
"E16","Enew8",.0017706,153
"E16","Enew9",.0012989,112
"E16","Esame1",0,0
"E16","Esame10",0,0
"E16","Esame11",0,0
"E16","Esame12",0,0
"E16","Esame13",0,0
"E16","Esame14",0,0
"E16","Esame15",0,0
"E16","Esame16",.8687263,75110
"E16","Esame17",0,0
"E16","Esame18",0,0
"E16","Esame19",0,0
